task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	00/eb59a2	276741	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_243_B)	COMPLETED	0	2024-01-29 10:14:45.028	322ms	35ms	61.0%	2.5 MB	3.9 MB	18.5 MB	18.4 MB
14	39/ce1d59	276747	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_244_B)	COMPLETED	0	2024-01-29 10:14:45.035	327ms	43ms	52.2%	2.8 MB	3.9 MB	16.7 MB	16.5 MB
15	a8/548ada	277168	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_245_B)	COMPLETED	0	2024-01-29 10:14:45.323	332ms	34ms	81.4%	2.6 MB	3.9 MB	16.1 MB	16 MB
17	ca/83a43f	277251	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_247_B)	COMPLETED	0	2024-01-29 10:14:45.367	311ms	37ms	73.8%	2.6 MB	3.9 MB	17.2 MB	17.1 MB
16	c0/97e856	277233	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_246_B)	COMPLETED	0	2024-01-29 10:14:45.357	422ms	38ms	69.6%	2.6 MB	3.9 MB	16.5 MB	16.4 MB
18	50/b3d9e4	277687	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_248_B)	COMPLETED	0	2024-01-29 10:14:45.659	323ms	31ms	66.7%	2.6 MB	3.9 MB	17.6 MB	17.4 MB
19	6b/6f69a8	277727	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_249_B)	COMPLETED	0	2024-01-29 10:14:45.682	310ms	37ms	61.0%	2.5 MB	3.9 MB	15.3 MB	15.2 MB
26	41/604913	277851	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_250_B)	COMPLETED	0	2024-01-29 10:14:45.781	313ms	30ms	44.4%	2.6 MB	3.9 MB	15.7 MB	15.6 MB
40	59/c85c10	278153	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_252_B)	COMPLETED	0	2024-01-29 10:14:45.995	364ms	58ms	46.6%	2.8 MB	3.9 MB	15.7 MB	15.6 MB
33	32/8325bb	278133	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_251_B)	COMPLETED	0	2024-01-29 10:14:45.985	474ms	48ms	42.4%	2.6 MB	3.9 MB	14.7 MB	14.6 MB
51	3d/915d5d	278344	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_253_B)	COMPLETED	0	2024-01-29 10:14:46.097	368ms	42ms	47.4%	2.6 MB	3.9 MB	19.6 MB	19.4 MB
56	89/80390a	278729	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_254_B)	COMPLETED	0	2024-01-29 10:14:46.463	260ms	28ms	69.2%	2.8 MB	3.9 MB	14.9 MB	14.7 MB
20	13/c1bcac	278897	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_237_B)	COMPLETED	0	2024-01-29 10:14:46.726	3.9s	4s	212.2%	393.4 MB	6.1 GB	25.4 MB	5.7 MB
5	8e/3c6652	274887	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_234_B)	COMPLETED	0	2024-01-29 10:14:39.293	14.5s	14s	102.8%	834.1 MB	2.4 GB	51.1 MB	3.9 MB
22	30/af0378	279635	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_236_B)	COMPLETED	0	2024-01-29 10:14:53.830	3.8s	3s	192.3%	392.3 MB	6.1 GB	26.5 MB	5.8 MB
21	c8/36dd9f	279417	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_237_B)	COMPLETED	0	2024-01-29 10:14:50.596	12.4s	12s	103.1%	872.9 MB	2.4 GB	51.3 MB	3.9 MB
23	db/bf90a1	280166	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_236_B)	COMPLETED	0	2024-01-29 10:14:57.680	13.2s	13s	102.6%	913.7 MB	2.4 GB	52.5 MB	4.6 MB
25	8d/295d44	281109	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_238_B)	COMPLETED	0	2024-01-29 10:15:10.882	3.8s	3s	198.4%	400.6 MB	6.1 GB	27.8 MB	5.7 MB
24	4d/7169ec	280563	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_238_B)	COMPLETED	0	2024-01-29 10:15:02.951	13.7s	13s	102.7%	929.8 MB	2.4 GB	53.8 MB	4.9 MB
27	59/f4eccb	281805	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_240_B)	COMPLETED	0	2024-01-29 10:15:16.644	3.9s	4s	192.8%	398 MB	6.1 GB	26 MB	5.8 MB
29	30/930779	282306	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_239_B)	COMPLETED	0	2024-01-29 10:15:20.507	3.8s	4s	190.8%	413 MB	6.1 GB	28.7 MB	5.9 MB
28	14/1890dc	281610	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_240_B)	COMPLETED	0	2024-01-29 10:15:14.724	13.1s	13s	102.9%	903 MB	2.5 GB	52 MB	4.4 MB
31	d1/1651e5	283092	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_241_B)	COMPLETED	0	2024-01-29 10:15:27.869	3.8s	3s	195.1%	401.6 MB	6.1 GB	26.9 MB	5.8 MB
30	ad/7274de	282806	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_239_B)	COMPLETED	0	2024-01-29 10:15:24.327	13.1s	13s	103.7%	941.6 MB	2.5 GB	54.7 MB	4.9 MB
32	ab/cccce0	283617	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_241_B)	COMPLETED	0	2024-01-29 10:15:31.699	12.6s	13s	103.8%	913.2 MB	2.4 GB	52.9 MB	4.7 MB
34	c7/295ee3	284495	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_242_B)	COMPLETED	0	2024-01-29 10:15:44.264	3.8s	4s	177.9%	402.1 MB	6.1 GB	25 MB	5.9 MB
35	e4/06fa68	284018	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_242_B)	COMPLETED	0	2024-01-29 10:15:37.474	11.7s	12s	103.9%	873.4 MB	2.4 GB	51 MB	4 MB
36	76/c0c528	285160	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_243_B)	COMPLETED	0	2024-01-29 10:15:49.167	3.8s	3s	192.6%	408.4 MB	6.1 GB	30.9 MB	5.8 MB
37	75/75d402	284999	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_243_B)	COMPLETED	0	2024-01-29 10:15:48.069	14s	14s	103.6%	978.8 MB	2.5 GB	56.9 MB	5.9 MB
38	1b/d8cdcf	286251	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_244_B)	COMPLETED	0	2024-01-29 10:16:02.093	3.8s	3s	195.6%	400 MB	6.1 GB	29.1 MB	5.8 MB
39	e5/41f26c	285688	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_244_B)	COMPLETED	0	2024-01-29 10:15:52.996	13.3s	13s	103.6%	953.9 MB	2.5 GB	55.1 MB	5.2 MB
41	f9/737982	286721	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_245_B)	COMPLETED	0	2024-01-29 10:16:05.898	3.8s	3s	210.9%	400.4 MB	6.2 GB	28.6 MB	5.8 MB
42	b0/24eb06	286923	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_245_B)	COMPLETED	0	2024-01-29 10:16:06.310	13.5s	13s	102.6%	946.8 MB	2.5 GB	54.5 MB	5.3 MB
43	7b/dc6732	287378	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_247_B)	COMPLETED	0	2024-01-29 10:16:09.710	13.6s	14s	103.3%	960.7 MB	2.5 GB	55.6 MB	5.5 MB
44	b8/8baec4	288002	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_247_B)	COMPLETED	0	2024-01-29 10:16:19.799	3.8s	4s	184.9%	402.3 MB	6.1 GB	29.6 MB	5.8 MB
45	6e/4bbc41	288562	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_246_B)	COMPLETED	0	2024-01-29 10:16:23.594	3.9s	4s	201.9%	401.2 MB	6.1 GB	29.1 MB	5.8 MB
46	2e/6ac02f	288393	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_246_B)	COMPLETED	0	2024-01-29 10:16:23.327	13.5s	13s	103.4%	944.8 MB	2.5 GB	55 MB	5.5 MB
47	a0/e06b4e	289633	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_248_B)	COMPLETED	0	2024-01-29 10:16:36.829	3.8s	3s	172.9%	378.1 MB	6.1 GB	30 MB	5.7 MB
48	1d/68271b	289046	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_248_B)	COMPLETED	0	2024-01-29 10:16:27.466	13.5s	13s	103.4%	957.5 MB	2.5 GB	56 MB	5.4 MB
49	03/6cfc0a	290099	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_249_B)	COMPLETED	0	2024-01-29 10:16:40.643	3.8s	4s	188.6%	396.6 MB	6.2 GB	27.8 MB	5.8 MB
50	39/214fde	290268	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_249_B)	COMPLETED	0	2024-01-29 10:16:41.009	13.3s	13s	102.5%	936.9 MB	2.5 GB	53.8 MB	5.1 MB
52	14/36523e	290726	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_250_B)	COMPLETED	0	2024-01-29 10:16:44.459	13.1s	13s	103.4%	941.3 MB	2.5 GB	54.1 MB	5.2 MB
53	2d/d14868	291349	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_250_B)	COMPLETED	0	2024-01-29 10:16:54.272	3.8s	4s	161.9%	383.9 MB	6.1 GB	28.1 MB	5.8 MB
54	e2/85d15f	291945	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_252_B)	COMPLETED	0	2024-01-29 10:16:58.121	3.8s	3s	195.2%	407.7 MB	6.1 GB	28.2 MB	5.8 MB
55	f9/e9f6ec	291710	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_252_B)	COMPLETED	0	2024-01-29 10:16:57.591	13.1s	13s	104.4%	932.9 MB	2.4 GB	54.1 MB	5 MB
57	e8/176ca7	293007	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_251_B)	COMPLETED	0	2024-01-29 10:17:10.740	3.8s	4s	181.7%	406.7 MB	6.1 GB	27.2 MB	5.7 MB
58	6e/3cbe06	292446	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_251_B)	COMPLETED	0	2024-01-29 10:17:01.930	13.2s	13s	103.8%	933.2 MB	2.4 GB	53.2 MB	5.2 MB
59	8b/3c05dc	293449	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_253_B)	COMPLETED	0	2024-01-29 10:17:14.540	3.8s	4s	204.0%	425.5 MB	6.1 GB	32.1 MB	5.8 MB
60	7b/9cdb4f	293638	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_253_B)	COMPLETED	0	2024-01-29 10:17:15.128	14.8s	14s	103.3%	1008 MB	2.5 GB	58 MB	6.8 MB
62	f8/575eb8	294049	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_254_B)	COMPLETED	0	2024-01-29 10:17:18.366	12.3s	12s	103.8%	919.8 MB	2.4 GB	53.3 MB	4.4 MB
64	ae/627ef8	294947	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_256_B)	COMPLETED	0	2024-01-29 10:17:30.623	295ms	31ms	70.6%	2.8 MB	3.9 MB	13.6 MB	13.5 MB
65	e0/90cf76	294954	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_257_B)	COMPLETED	0	2024-01-29 10:17:30.626	294ms	31ms	67.9%	2.6 MB	3.9 MB	16 MB	15.9 MB
63	5c/af8e89	294942	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_255_B)	COMPLETED	0	2024-01-29 10:17:30.620	399ms	34ms	62.1%	2.8 MB	3.9 MB	15.7 MB	15.6 MB
66	1d/f4563d	295439	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_258_B)	COMPLETED	0	2024-01-29 10:17:30.920	301ms	35ms	60.0%	2.8 MB	3.9 MB	15.2 MB	15 MB
67	c6/9513a0	295440	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_259_B)	COMPLETED	0	2024-01-29 10:17:30.922	312ms	45ms	50.0%	2.8 MB	3.9 MB	16.2 MB	16.1 MB
68	31/5f3e78	295559	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_260_B)	COMPLETED	0	2024-01-29 10:17:31.021	318ms	32ms	88.9%	2.6 MB	3.9 MB	16.7 MB	16.6 MB
69	19/1715fd	295850	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_261_B)	COMPLETED	0	2024-01-29 10:17:31.223	289ms	32ms	90.6%	2.6 MB	3.9 MB	19.6 MB	19.5 MB
70	9a/b91355	295885	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_262_B)	COMPLETED	0	2024-01-29 10:17:31.237	286ms	29ms	49.0%	2.6 MB	3.9 MB	14.4 MB	14.3 MB
71	8b/feb5fe	296090	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_263_B)	COMPLETED	0	2024-01-29 10:17:31.341	280ms	30ms	69.2%	2.6 MB	3.9 MB	13.2 MB	13.1 MB
72	21/1b27f5	296372	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_264_B)	COMPLETED	0	2024-01-29 10:17:31.514	286ms	37ms	60.0%	2.8 MB	3.9 MB	16.4 MB	16.3 MB
73	47/be37a4	296394	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_265_B)	COMPLETED	0	2024-01-29 10:17:31.525	286ms	33ms	62.1%	2.5 MB	3.9 MB	16.5 MB	16.4 MB
74	c9/6c26fb	296594	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_266_B)	COMPLETED	0	2024-01-29 10:17:31.624	301ms	31ms	60.0%	2.5 MB	3.9 MB	11.6 MB	11.5 MB
75	7b/6508ec	296878	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_267_B)	COMPLETED	0	2024-01-29 10:17:31.802	305ms	29ms	48.0%	2.8 MB	3.9 MB	15.1 MB	14.9 MB
76	1e/e1c7d8	296899	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_268_B)	COMPLETED	0	2024-01-29 10:17:31.814	297ms	30ms	69.2%	2.8 MB	3.9 MB	10.9 MB	10.8 MB
77	c9/898706	297101	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_269_B)	COMPLETED	0	2024-01-29 10:17:31.927	318ms	36ms	52.2%	2.8 MB	3.9 MB	23.5 MB	23.4 MB
78	58/30360b	297380	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_270_B)	COMPLETED	0	2024-01-29 10:17:32.109	315ms	36ms	62.1%	2.8 MB	3.9 MB	16.5 MB	16.4 MB
79	b1/be8e0b	297387	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_271_B)	COMPLETED	0	2024-01-29 10:17:32.114	316ms	32ms	46.2%	2.5 MB	3.9 MB	12.5 MB	12.4 MB
80	c7/99aa8e	297611	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_272_B)	COMPLETED	0	2024-01-29 10:17:32.248	321ms	30ms	67.9%	2.8 MB	3.9 MB	14.1 MB	13.9 MB
82	0e/68b652	297943	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_274_B)	COMPLETED	0	2024-01-29 10:17:32.432	312ms	37ms	60.0%	2.8 MB	3.9 MB	16.9 MB	16.8 MB
81	8a/fce6f0	297935	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_273_B)	COMPLETED	0	2024-01-29 10:17:32.427	417ms	34ms	59.0%	2.8 MB	3.9 MB	17.3 MB	17.2 MB
83	1b/9eb108	298162	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_275_B)	COMPLETED	0	2024-01-29 10:17:32.571	322ms	49ms	44.4%	2.6 MB	3.9 MB	20.7 MB	20.6 MB
84	44/6a3715	298427	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_276_B)	COMPLETED	0	2024-01-29 10:17:32.746	309ms	36ms	59.0%	2.5 MB	3.9 MB	21.3 MB	21.2 MB
85	bc/b19862	298523	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_277_B)	COMPLETED	0	2024-01-29 10:17:32.846	321ms	35ms	73.8%	2.8 MB	3.9 MB	19.9 MB	19.8 MB
86	cc/6bee70	298646	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_278_B)	COMPLETED	0	2024-01-29 10:17:32.895	322ms	41ms	73.8%	2.8 MB	3.9 MB	20.5 MB	20.4 MB
87	24/3965be	298838	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_279_B)	COMPLETED	0	2024-01-29 10:17:33.058	314ms	31ms	67.9%	2.5 MB	3.9 MB	10.7 MB	10.6 MB
88	3a/dc46f3	299032	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_280_B)	COMPLETED	0	2024-01-29 10:17:33.170	301ms	33ms	60.0%	2.8 MB	3.9 MB	15.8 MB	15.7 MB
89	52/862716	299152	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_281_B)	COMPLETED	0	2024-01-29 10:17:33.219	323ms	40ms	75.0%	2.6 MB	3.9 MB	20.7 MB	20.6 MB
90	11/3a0880	299384	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_282_B)	COMPLETED	0	2024-01-29 10:17:33.375	313ms	31ms	66.7%	2.8 MB	3.9 MB	14.4 MB	14.3 MB
61	2c/1fdfa2	294724	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_254_B)	COMPLETED	0	2024-01-29 10:17:29.902	3.8s	3s	254.3%	385.7 MB	6.1 GB	27.4 MB	5.7 MB
91	71/540eb0	299573	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_283_B)	COMPLETED	0	2024-01-29 10:17:33.474	309ms	36ms	75.0%	2.8 MB	3.9 MB	18.7 MB	18.6 MB
92	3a/e46350	299708	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_284_B)	COMPLETED	0	2024-01-29 10:17:33.544	317ms	43ms	47.4%	2.6 MB	3.9 MB	18.7 MB	18.6 MB
93	50/86cdc8	299916	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_285_B)	COMPLETED	0	2024-01-29 10:17:33.690	320ms	37ms	49.3%	2.6 MB	3.9 MB	19.1 MB	19 MB
94	96/9dd2d3	300056	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_286_B)	COMPLETED	0	2024-01-29 10:17:33.747	355ms	50ms	60.0%	2.6 MB	3.9 MB	17.8 MB	17.7 MB
95	c5/f0e819	300061	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_287_B)	COMPLETED	0	2024-01-29 10:17:33.749	355ms	59ms	51.6%	2.6 MB	3.9 MB	30.3 MB	30.2 MB
96	d5/559da2	300069	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_288_B)	COMPLETED	0	2024-01-29 10:17:33.752	354ms	48ms	60.8%	2.4 MB	3.9 MB	19.2 MB	19.1 MB
97	fc/6f93d3	300202	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_289_B)	COMPLETED	0	2024-01-29 10:17:33.785	352ms	39ms	70.6%	2.6 MB	3.9 MB	16.8 MB	16.7 MB
98	6b/1ef06e	300424	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_290_B)	COMPLETED	0	2024-01-29 10:17:33.864	349ms	38ms	50.0%	2.6 MB	3.9 MB	12.5 MB	12.4 MB
99	06/7475d5	300718	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_291_B)	COMPLETED	0	2024-01-29 10:17:34.012	300ms	31ms	60.0%	2.6 MB	3.9 MB	14.8 MB	14.7 MB
102	96/477602	301084	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_234)	COMPLETED	0	2024-01-29 10:17:34.109	340ms	39ms	57.1%	2.6 MB	3.9 MB	15.7 MB	15.6 MB
100	fa/3cb8bc	301073	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_292_B)	COMPLETED	0	2024-01-29 10:17:34.104	365ms	43ms	66.7%	2.6 MB	3.9 MB	15.5 MB	15.4 MB
101	4f/89d90a	301078	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_293_B)	COMPLETED	0	2024-01-29 10:17:34.107	364ms	43ms	62.3%	2.5 MB	3.9 MB	18.2 MB	18.1 MB
103	19/88f52b	301195	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_236)	COMPLETED	0	2024-01-29 10:17:34.139	333ms	40ms	50.0%	2.4 MB	3.9 MB	9.8 MB	9.7 MB
104	18/905a53	301416	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_237)	COMPLETED	0	2024-01-29 10:17:34.214	345ms	52ms	45.0%	2.6 MB	3.9 MB	16.3 MB	16.2 MB
105	c1/e99af0	301589	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_238)	COMPLETED	0	2024-01-29 10:17:34.314	355ms	43ms	50.0%	2.6 MB	3.9 MB	17.9 MB	17.8 MB
106	99/6d311d	302055	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_239)	COMPLETED	0	2024-01-29 10:17:34.451	360ms	38ms	69.6%	2.5 MB	3.9 MB	16.8 MB	16.7 MB
107	28/a3f660	302105	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_240)	COMPLETED	0	2024-01-29 10:17:34.471	346ms	40ms	36.9%	2.6 MB	3.9 MB	17 MB	16.9 MB
108	a0/dfd7b0	302108	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_241)	COMPLETED	0	2024-01-29 10:17:34.473	350ms	38ms	75.0%	2.6 MB	3.9 MB	18.9 MB	18.8 MB
109	63/fdb76c	302118	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_35d_242)	COMPLETED	0	2024-01-29 10:17:34.476	349ms	43ms	51.4%	2.5 MB	3.9 MB	18.2 MB	18.1 MB
