task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
50	14/36523e	290726	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_250_B)	CACHED	0	2024-01-29 10:16:44.459	13.1s	13s	103.4%	941.3 MB	2.5 GB	54.1 MB	5.2 MB
51	32/8325bb	278133	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_251_B)	CACHED	0	2024-01-29 10:14:45.985	474ms	48ms	42.4%	2.6 MB	3.9 MB	14.7 MB	14.6 MB
53	6e/3cbe06	292446	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_251_B)	CACHED	0	2024-01-29 10:17:01.930	13.2s	13s	103.8%	933.2 MB	2.4 GB	53.2 MB	5.2 MB
52	e8/176ca7	293007	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_251_B)	CACHED	0	2024-01-29 10:17:10.740	3.8s	4s	181.7%	406.7 MB	6.1 GB	27.2 MB	5.7 MB
54	59/c85c10	278153	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_252_B)	CACHED	0	2024-01-29 10:14:45.995	364ms	58ms	46.6%	2.8 MB	3.9 MB	15.7 MB	15.6 MB
55	e2/85d15f	291945	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_252_B)	CACHED	0	2024-01-29 10:16:58.121	3.8s	3s	195.2%	407.7 MB	6.1 GB	28.2 MB	5.8 MB
56	f9/e9f6ec	291710	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_252_B)	CACHED	0	2024-01-29 10:16:57.591	13.1s	13s	104.4%	932.9 MB	2.4 GB	54.1 MB	5 MB
57	3d/915d5d	278344	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_253_B)	CACHED	0	2024-01-29 10:14:46.097	368ms	42ms	47.4%	2.6 MB	3.9 MB	19.6 MB	19.4 MB
58	8b/3c05dc	293449	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_253_B)	CACHED	0	2024-01-29 10:17:14.540	3.8s	4s	204.0%	425.5 MB	6.1 GB	32.1 MB	5.8 MB
59	7b/9cdb4f	293638	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_253_B)	CACHED	0	2024-01-29 10:17:15.128	14.8s	14s	103.3%	1008 MB	2.5 GB	58 MB	6.8 MB
60	89/80390a	278729	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_254_B)	CACHED	0	2024-01-29 10:14:46.463	260ms	28ms	69.2%	2.8 MB	3.9 MB	14.9 MB	14.7 MB
62	f8/575eb8	294049	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_254_B)	CACHED	0	2024-01-29 10:17:18.366	12.3s	12s	103.8%	919.8 MB	2.4 GB	53.3 MB	4.4 MB
61	2c/1fdfa2	294724	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_254_B)	CACHED	0	2024-01-29 10:17:29.902	3.8s	3s	254.3%	385.7 MB	6.1 GB	27.4 MB	5.7 MB
63	5c/af8e89	294942	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_255_B)	CACHED	0	2024-01-29 10:17:30.620	399ms	34ms	62.1%	2.8 MB	3.9 MB	15.7 MB	15.6 MB
64	59/a7a13f	314756	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_255_B)	CACHED	0	2024-01-29 10:18:10.392	3.8s	4s	203.8%	408.2 MB	6.1 GB	28.1 MB	5.7 MB
65	45/14e313	315148	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_255_B)	CACHED	0	2024-01-29 10:18:14.202	13.4s	13s	102.8%	938.6 MB	2.5 GB	54.1 MB	5 MB
