Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Villapol_243_B_1	5.317870143062727	1.9131465334800641	1.0767798188436468	0.7720308135105393	0.5079150088885127	0.6501312113772962	0.5688648099551342	0.3521544061627021	0.5333107593329384	7.916701938542284	4.506899178870736	14.13019554727842	11.682045204435791	21.32396512316939	10.124439177177685	18.62355032591213
Villapol_243_B_2	8.69211885211208	1.794633031406078	1.0767798188436468	0.6975366122068907	0.46558875814780326	0.5688648099551342	0.48590535850334376	0.37924320663675615	0.3504613561330737	5.886734953017862	3.194785405908745	11.670193854228392	10.022856175399983	27.080335223905866	9.635147718615086	17.99881486497926
Villapol_244_B_1	4.590943437954994	1.5628743618570191	1.0394588916124514	0.7372048876684053	0.7003446432849849	0.707716692161669	0.45153799369689823	0.4570670303544112	0.3649164193958606	8.142427984297536	4.0601559188337415	10.416705062754566	3.916400965738403	24.445714075084318	38.406531635304745	0.0
Villapol_244_B_2	8.380176560570597	1.6329088261855176	0.8957039385171124	0.6634843989015646	0.7003446432849849	0.6081940323264343	0.3741314804917157	0.3538583460808345	0.49761329917617353	6.2514974474280764	3.5643856318767395	10.230560828618293	7.137986324849334	22.328093035256824	36.3810612064358	0.0
Villapol_245_B_1	4.547259354497155	1.5806689481744784	1.0493675433454972	0.741174913498081	0.6995783622303314	0.6466372969804685	0.46323432093630057	0.5899147270699011	0.5445366711414472	7.133808542419029	4.976460133487114	12.760687477547316	3.081926298474163	31.895101060712054	29.28964434948666	0.0
Villapol_245_B_2	8.33821777685341	1.5693244341923651	0.9586114314885893	0.6201667643555371	0.7657546937926601	0.5785702130877877	0.4499990546238348	0.37815046607044944	0.2552515645975533	6.420994913876231	2.5752046739397607	10.87182589952542	7.379606345364821	30.327667378850045	28.510654389381536	0.0
Villapol_246_B_1	5.706785367802317	1.7995396526469971	1.101409575985847	0.9435218474766497	0.8940630409556962	0.684814244136278	0.5326333009948829	0.3500161692252088	0.5649717514124294	8.02183796534079	4.091765108714261	21.813235937529722	9.67870798379273	32.11969031178071	11.697007742205482	0.0
Villapol_246_B_2	9.062375164070078	1.993570355152276	1.0899960052502426	0.7989499514923244	0.5992124636192433	0.5364378245734178	0.4793699708953946	0.4261066407959063	0.3766478342749529	6.077726416709468	2.96372386767867	19.00739979836025	8.702847685898533	36.77452491011813	11.11111111111111	0.0
Villapol_247_B_1	5.047756352495945	1.8057307622995133	0.9893674535952425	0.7352676157866282	0.5676698504234997	0.4757613984501712	0.6938187060731664	0.5334294467471616	0.519012434672914	7.763561001982339	5.788430347810417	13.688952964498108	2.3950261308343848	32.57163452874392	26.424581005586596	0.0
Villapol_247_B_2	8.35105424400793	1.6651648945755992	0.8758334835105424	0.8794377365291043	0.630744278248333	0.7028293386195711	0.5298251937285997	0.36042530185619026	0.2270679401693999	5.855109028653811	3.12488736709317	13.040187421156965	4.384573797080555	34.58280771310146	24.79005226166877	0.0
Villapol_248_B_1	5.459287903108128	1.9516999854078505	1.1655479352108566	0.9266014883992412	0.5928060703341602	0.6785349481978695	0.44688457609805926	0.6128702757916241	0.410404202539034	8.530935356778054	4.864657814096017	14.814679702320152	9.473953013278855	50.0711367284401	0.0	0.0
