index,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;;,Bacteria;Verrucomicrobiota;Verrucomicrobiae,Bacteria;Firmicutes;,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Actinobacteriota;Actinobacteria,;;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_35d_281,5156.0,8883.0,9049.0,93.0,3.0,24.0,0.0,26.0,96.0,0.0,281.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_282,3331.0,8598.0,5148.0,201.0,23.0,275.0,0.0,35.0,118.0,0.0,282.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_283,2385.0,6025.0,2653.0,71.0,4.0,29.0,0.0,24.0,30.0,0.0,283.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_284,7004.0,11600.0,2699.0,98.0,0.0,216.0,1.0,144.0,178.0,0.0,284.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_285,4365.0,9579.0,2202.0,60.0,0.0,53.0,1.0,31.0,143.0,0.0,285.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_286,9036.0,14333.0,3184.0,189.0,0.0,529.0,0.0,91.0,224.0,0.0,286.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_287,7786.0,14147.0,4968.0,265.0,6.0,576.0,0.0,112.0,377.0,0.0,287.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_288,6506.0,7480.0,7034.0,111.0,56.0,93.0,52.0,20.0,122.0,0.0,288.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_289,6856.0,11891.0,7662.0,221.0,81.0,361.0,0.0,90.0,20.0,0.0,289.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_290,3397.0,5554.0,2587.0,191.0,30.0,395.0,0.0,12.0,33.0,0.0,290.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_291,7347.0,8601.0,4842.0,329.0,0.0,519.0,0.0,7.0,35.0,0.0,291.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_292,4583.0,7900.0,7384.0,256.0,78.0,995.0,0.0,11.0,44.0,0.0,292.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_293,5862.0,13181.0,3401.0,637.0,7.0,328.0,4.0,15.0,91.0,0.0,293.0,WT,F,Sham,Vehicle,35d,PAN
