index,Bacteria,,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_35d_270,22413.0,0.0,270.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_271,21557.0,0.0,271.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_272,16509.0,0.0,272.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_273,15839.0,0.0,273.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_274,24837.0,0.0,274.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_275,20261.0,0.0,275.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_276,18568.0,2.0,276.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_277,20641.0,0.0,277.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_278,20123.0,0.0,278.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_279,21477.0,0.0,279.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_280,24629.0,0.0,280.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_281,23330.0,0.0,281.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_282,17729.0,0.0,282.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_283,11221.0,0.0,283.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_284,21940.0,0.0,284.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_285,16434.0,0.0,285.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_286,27586.0,0.0,286.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_287,28237.0,0.0,287.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_288,21474.0,0.0,288.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_289,27182.0,0.0,289.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_290,12199.0,0.0,290.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_291,21680.0,0.0,291.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_292,21251.0,0.0,292.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_293,23526.0,0.0,293.0,WT,F,Sham,Vehicle,35d,PAN
