index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Bacilli;,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Christensenellales,;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Clostridia;Eubacteriales,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_288_B,4970.0,64.0,40.0,8266.0,1642.0,1793.0,90.0,50.0,210.0,22.0,0.0,5.0,203.0,222.0,50.0,0.0,0.0,0.0,31.0,2.0,9.0,19.0,0.0,43.0,0.0,0.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,1965.0,33.0,3958.0,1987.0,10925.0,528.0,43.0,354.0,128.0,7.0,68.0,5.0,27.0,485.0,7.0,0.0,0.0,0.0,164.0,91.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,2052.0,14.0,4587.0,679.0,9273.0,264.0,49.0,433.0,33.0,0.0,116.0,0.0,28.0,273.0,15.0,0.0,0.0,0.0,57.0,129.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,3339.0,14.0,2738.0,1390.0,9405.0,486.0,118.0,414.0,174.0,3.0,253.0,4.0,76.0,548.0,31.0,0.0,0.0,0.0,4.0,239.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,2755.0,26.0,3990.0,2873.0,7992.0,539.0,140.0,673.0,22.0,0.0,152.0,10.0,132.0,627.0,48.0,1.0,1.0,0.0,24.0,126.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_293_B,3574.0,34.0,2752.0,1338.0,13126.0,306.0,85.0,625.0,420.0,3.0,205.0,0.0,36.0,185.0,24.0,0.0,3.0,0.0,89.0,159.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,293.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_35d_234,3512.0,39.0,3843.0,2161.0,7966.0,713.0,96.0,129.0,77.0,4.0,117.0,0.0,141.0,529.0,13.0,2.0,0.0,0.0,0.0,70.0,0.0,4.0,0.0,35.0,0.0,0.0,0.0,234.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_236,1335.0,61.0,841.0,2879.0,4053.0,632.0,29.0,267.0,45.0,4.0,155.0,6.0,85.0,61.0,64.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,236.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_237,4632.0,36.0,1478.0,2639.0,7732.0,985.0,61.0,494.0,276.0,0.0,469.0,41.0,111.0,543.0,11.0,0.0,0.0,0.0,4.0,77.0,0.0,11.0,0.0,259.0,0.0,0.0,0.0,237.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_238,3603.0,30.0,3691.0,5861.0,4937.0,1551.0,59.0,355.0,149.0,7.0,186.0,18.0,179.0,150.0,7.0,0.0,1.0,0.0,0.0,42.0,1.0,7.0,0.0,59.0,0.0,0.0,0.0,238.0,WT,M,CCI,PAN,35d,PAN
